,id,name,artists,duration_s,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,Year_dt
173,08T26i7SErk6jCDTW7uUFI,Lift Off,Kanye West,266.253,8/8/11,2011,0.187,0.403,0.784,0.00177,0.165,-7.584,0.171,179.427,0.275,0,2,59,1,2011-01-01
174,3ZLyt2ndLFBh148XRYjYYZ,All We Got (feat. Kanye West & Chicago Children's Choir),Kanye West,203.794,5/27/16,2016,0.308,0.531,0.544,1.89e-06,0.0835,-8.615,0.462,131.921,0.398,0,0,62,0,2016-01-01
175,3s7MCdXyWmwjdcWh7GWXas,Violent Crimes,Kanye West,215.32,6/1/18,2018,0.376,0.669,0.419,0.0,0.187,-6.724,0.522,109.813,0.0397,0,1,71,1,2018-01-01
176,4R5bSS8yoCl2czeWLr61aO,Diamonds From Sierra Leone - Bonus Track,Kanye West,238.4,9/30/05,2005,0.148,0.469,0.847,0.0,0.306,-3.458,0.264,121.226,0.574,1,7,52,1,2005-01-01
177,4fRTe59xEeNHT4uyAGsV27,Crack Music,Kanye West,270.867,9/30/05,2005,0.00965,0.725,0.712,0.000479,0.345,-6.288,0.211,168.121,0.557,0,11,51,1,2005-01-01
178,1mFHMzbaECWFaPfoePoEYl,Late,Kanye West,230.493,9/30/05,2005,0.197,0.361,0.843,3.95e-06,0.295,-5.928,0.155,69.814,0.622,0,3,50,1,2005-01-01
179,4QcBuV31ukMvsvviytKjWx,Stronger,Kanye West,312.027,9/11/07,2007,0.00651,0.617,0.708,0.0,0.404,-7.873,0.15,103.96,0.462,1,1,50,0,2007-01-01
180,2kNtAwWATYkqV3CdT20RV0,Swagga Like Us (feat. Kanye West & Lil' Wayne),Kanye West,327.667,9/8/08,2008,0.00163,0.58,0.817,0.0,0.118,-5.009,0.214,89.008,0.238,1,4,51,1,2008-01-01
181,1smcSwXObpmxcjCulmjMgy,Murder To Excellence,Kanye West,300.96,8/8/11,2011,0.024,0.566,0.816,0.0,0.0804,-4.741,0.32,87.353,0.578,1,1,57,1,2011-01-01
182,65rRB2mspD309xE6YimZTl,Clique,Kanye West,293.613,1/1/12,2012,0.0534,0.66,0.539,0.0,0.222,-5.947,0.324,109.318,0.307,0,9,60,1,2012-01-01
183,731Pa6Gt7GAdADATMSEL0N,One Man Can Change The World,Kanye West,254.627,2/24/15,2015,0.777,0.67,0.58,0.0,0.11,-6.586,0.144,157.999,0.309,0,8,60,1,2015-01-01
184,2gAGWaK4wvt2xrFUlR4mK8,Jukebox Joints (feat. Joe Fox & Kanye West),Kanye West,323.96,5/26/15,2015,0.303,0.284,0.797,0.0,0.242,-5.293,0.158,67.984,0.556,0,2,61,1,2015-01-01
185,1o0kWPueYo94LIjPYOE5Nf,Saint Pablo,Kanye West,372.113,6/10/16,2016,0.282,0.461,0.772,0.0,0.178,-3.98,0.375,167.018,0.414,0,2,64,1,2016-01-01
186,3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),Kanye West,217.405,5/4/18,2018,0.0372,0.706,0.559,0.0,0.379,-5.216,0.0416,78.534,0.252,0,4,68,1,2018-01-01
187,17bgTUPOnLLVavmeS2Pc0B,Billie Jean 2008 Kanye West Mix (feat. Kanye West) - Thriller 25th Anniversary Remix,Kanye West,275.933,11/30/82,1982,0.00948,0.713,0.822,0.000781,0.223,-6.631,0.0346,101.986,0.257,1,1,42,0,1982-01-01
188,0TzIHqhAbvYR6qJKrMMFlk,My Way Home,Kanye West,103.373,9/30/05,2005,0.331,0.595,0.596,0.0,0.0976,-10.488,0.0408,86.969,0.775,1,8,50,1,2005-01-01
189,7jAxGkXU58FwNMjqoMahn7,Celebration,Kanye West,198.44,9/30/05,2005,0.0164,0.295,0.777,1.32e-06,0.118,-4.199,0.212,80.039,0.354,1,5,49,1,2005-01-01
190,25K9cWrxNv991UYiOzBJqR,Bring Me Down,Kanye West,198.973,9/30/05,2005,0.00575,0.386,0.692,0.0,0.595,-6.919,0.0898,111.266,0.351,0,6,49,1,2005-01-01
191,4lLmG1fatRUgnRz0Ol0WUi,Why I Love You,Kanye West,201.373,8/8/11,2011,0.0261,0.481,0.805,0.0,0.269,-4.132,0.0419,123.441,0.373,1,5,56,1,2011-01-01
192,3SIgBSv9D8Nm3CvP0o0Q9Z,New Day,Kanye West,272.853,8/8/11,2011,0.389,0.561,0.645,7.05e-05,0.142,-6.809,0.0705,91.005,0.359,0,10,55,1,2011-01-01
193,0HMCdlOPJkAGlB0MlSWIcO,I Am A God,Kanye West,231.507,1/1/13,2013,0.0366,0.506,0.532,0.000783,0.165,-7.403,0.0713,111.829,0.303,0,4,57,1,2013-01-01
195,4e5IPJxSGVWPsaxQzdRseN,Who Will Survive In America,Kanye West,98.2,11/22/10,2010,0.228,0.676,0.843,0.000718,0.856,-6.111,0.359,116.152,0.597,1,1,54,1,2010-01-01
196,2a8CtZyPdd8w2csZh7oxpc,Run This Town,Kanye West,268.013,11/22/10,2010,0.323,0.591,0.921,0.0,0.302,-1.787,0.313,86.808,0.428,1,1,52,1,2010-01-01
197,52NmkyHsGsHGb1UX8fTkMg,I'm In It,Kanye West,234.853,1/1/13,2013,0.141,0.486,0.604,0.0,0.0668,-4.591,0.344,170.312,0.45,1,1,56,1,2013-01-01
198,1gqkRc9WtOpnGIqxf2Hvzr,On Sight,Kanye West,156.48,1/1/13,2013,0.487,0.608,0.469,0.0,0.28,-3.182,0.325,102.528,0.515,0,9,56,1,2013-01-01
199,3RKblQNJs8HPvWBgXmq6nn,Send It Up,Kanye West,178.04,1/1/13,2013,0.292,0.624,0.544,7.41e-05,0.282,-5.193,0.34,93.585,0.363,1,9,56,1,2013-01-01
200,2T4JE91t7Js1DJ4rSHltcQ,I Won (feat. Kanye West),Kanye West,239.733,4/22/14,2014,0.743,0.606,0.66,0.0,0.396,-5.788,0.258,83.746,0.317,1,9,56,1,2014-01-01
201,2CHmgtK8OCL28WtIK96u4N,30 Hours,Kanye West,323.303,6/10/16,2016,0.0359,0.823,0.813,0.0,0.0886,-6.71,0.288,95.012,0.373,1,7,61,1,2016-01-01
202,49fT6owWuknekShh9utsjv,Feedback,Kanye West,147.24,6/10/16,2016,0.563,0.811,0.566,0.0,0.104,-6.033,0.517,100.224,0.169,0,8,61,1,2016-01-01
203,1qsHYUd2c1wFGcn7e63QmG,Yikes,Kanye West,188.773,6/1/18,2018,0.15,0.683,0.776,0.0,0.227,-3.251,0.341,173.996,0.223,0,1,67,1,2018-01-01
204,25mwJPzWVmS2yronBNQJF1,School Spirit Skit 1,Kanye West,78.693,2/10/04,2004,0.326,0.648,0.218,0.0,0.352,-15.108,0.95,164.25,0.642,1,8,47,1,2004-01-01
205,43PBE5b3RJgwfi1i9xKtEs,Gold Digger,Kanye West,207.627,8/30/05,2005,0.0144,0.686,0.672,0.0,0.0653,-6.069,0.338,92.472,0.625,0,1,46,0,2005-01-01
207,4Mx5gDSGBHbrsgJR7r1QwJ,Made In America,Kanye West,292.067,8/8/11,2011,0.043,0.71,0.729,5.88e-05,0.224,-7.01,0.219,165.899,0.55,0,11,54,1,2011-01-01
208,1DbeslBYnckTqqTcc1Y2Tg,New God Flow,Kanye West,294.907,1/1/12,2012,0.393,0.493,0.914,0.0,0.353,-2.963,0.386,173.694,0.519,0,3,53,1,2012-01-01
209,1CUk09iecf4kLvLuhxerdS,E.T.,Kanye West,229.573,1/1/12,2012,0.0172,0.615,0.877,0.0,0.366,-5.217,0.174,151.6,0.778,1,6,53,0,2012-01-01
210,7fuuAPjPDyLGyFaJEkSxAb,Clique - Album Version (Edited),Kanye West,293.533,1/1/12,2012,0.0562,0.717,0.541,0.0,0.306,-5.942,0.235,109.448,0.327,0,9,50,0,2012-01-01
211,5nPOM0nFRAJ3XI8xCxNAzO,Guilt Trip,Kanye West,243.747,1/1/13,2013,0.159,0.439,0.666,1.03e-05,0.129,-6.078,0.0754,137.9,0.579,0,4,55,1,2013-01-01
212,4qYLPta5HZ36idWiXtqh7B,Highlights,Kanye West,199.867,6/10/16,2016,0.00572,0.547,0.626,0.0,0.313,-6.244,0.208,101.971,0.346,1,2,60,1,2016-01-01
215,5GO4rpfnM2lghVqEulTJUf,They Say,Kanye West,237.04,1/1/05,2005,0.185,0.654,0.702,8.72e-06,0.0705,-7.419,0.222,94.838,0.812,0,4,47,1,2005-01-01
216,6giHsGo1eSYZSXKdNwTC62,Pinocchio Story,Kanye West,361.6,1/1/08,2008,0.95,0.341,0.281,0.0,0.948,-13.204,0.0501,74.997,0.306,0,10,49,0,2008-01-01
217,6N6bpwA4iiq7HtKToeVH0c,Swagga Like Us,Kanye West,329.68,9/6/08,2008,0.00154,0.579,0.809,0.0,0.564,-5.031,0.205,88.991,0.259,1,4,48,1,2008-01-01
218,37qcaCXw7TlBsDD5BgDoCf,Start It Up,Kanye West,289.52,1/1/10,2010,0.0935,0.446,0.87,0.0,0.437,-4.683,0.318,161.79,0.438,1,1,48,1,2010-01-01
219,3TJxCXkL774hhGUmzFLUgy,That's My Bitch,Kanye West,202.56,8/8/11,2011,0.237,0.745,0.871,0.000293,0.121,-6.291,0.113,108.985,0.495,1,7,53,1,2011-01-01
220,6N43Qgg9jx21vfMkTYvSi3,Welcome To The Jungle,Kanye West,174.133,8/8/11,2011,0.0128,0.636,0.93,3.7e-06,0.18,-5.179,0.364,92.899,0.325,1,2,53,1,2011-01-01
221,3KiEydhjn7yf58h9jBD5Sa,U Mad,Kanye West,299.8,4/20/15,2015,0.0122,0.722,0.587,0.0,0.325,-6.495,0.0471,134.047,0.482,1,1,58,1,2015-01-01
222,3JWiDGQX2eTlFvKj3Yssj3,Closed On Sunday,Kanye West,151.873,10/25/19,2019,0.873,0.799,0.291,0.000641,0.139,-7.353,0.0318,97.984,0.406,0,11,69,0,2019-01-01
