,id,name,artists,duration_s,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,Year_dt
77,5dANgSy7v091dhiPnEXNrf,Put On,Kanye West,321.293,1/1/08,2008,0.00342,0.654,0.77,0.0,0.0887,-6.091,0.0353,137.616,0.272,0,9,68,1,2008-01-01
78,1kxeWHF9PrCVZHvVskv8lg,Love Lockdown,Kanye West,270.307,1/1/08,2008,0.0542,0.76,0.524,0.5,0.112,-7.67,0.0323,119.603,0.112,0,1,67,0,2008-01-01
79,0m3Ze0cy8qBHSsV2exAfCw,Amazing,Kanye West,238.333,1/1/08,2008,0.216,0.588,0.554,0.118,0.0619,-8.406,0.0545,146.133,0.496,1,8,65,0,2008-01-01
80,6HSqyfGnsHYw9MmIpa9zlZ,Forever,Kanye West,357.347,1/1/09,2009,0.253,0.415,0.926,0.0,0.256,-1.304,0.374,158.423,0.542,0,5,66,1,2009-01-01
81,58FUwmyGUqkt53YPUcm7cJ,Knock You Down,Kanye West,326.187,1/1/09,2009,0.00952,0.588,0.877,0.0,0.171,-4.78,0.16,155.165,0.645,1,8,66,0,2009-01-01
82,7LR85XLWw2yXqKBSI5brbG,Run This Town,Kanye West,267.52,9/8/09,2009,0.281,0.632,0.924,0.0,0.263,-1.802,0.29,86.844,0.441,1,1,70,1,2009-01-01
83,5UsLjwBaTHBX4ektWIr4XX,Forever,Kanye West,357.707,5/15/09,2009,0.249,0.457,0.906,0.0,0.182,-2.278,0.342,104.02,0.54,0,5,68,1,2009-01-01
84,2gZUPNdnz5Y45eiGxpHGSc,POWER,Kanye West,292.093,11/22/10,2010,0.0162,0.543,0.915,0.0,0.744,-4.746,0.113,153.998,0.577,0,0,78,1,2010-01-01
85,22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,Kanye West,299.613,11/22/10,2010,0.0796,0.541,0.803,1.71e-05,0.176,-3.284,0.0738,142.135,0.221,1,1,75,1,2010-01-01
86,3DK6m7It6Pw857FcQftMds,Runaway,Kanye West,547.733,11/22/10,2010,0.218,0.571,0.568,0.0021,0.512,-3.827,0.0703,86.986,0.109,0,1,72,1,2010-01-01
87,6XkuklKiHYVTlVvWlTgQYP,Erase Me - Main,Kanye West,192.253,1/1/10,2010,0.063,0.687,0.631,0.0,0.108,-5.612,0.129,186.071,0.853,1,9,70,1,2010-01-01
88,1ZHYJ2Wwgxes4m8Ba88PeK,Monster,Kanye West,378.893,11/22/10,2010,0.00244,0.628,0.692,0.013,0.668,-5.64,0.202,124.791,0.0964,1,2,71,1,2010-01-01
89,1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,Kanye West,351.947,11/22/10,2010,0.0175,0.433,0.76,0.0,0.158,-4.935,0.0726,79.789,0.205,0,8,68,1,2010-01-01
90,23SZWX2IaDnxmhFsSLvkG2,Gorgeous,Kanye West,357.653,11/22/10,2010,0.0207,0.603,0.713,0.000179,0.431,-3.625,0.0317,91.953,0.12,0,1,67,1,2010-01-01
91,4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,Kanye West,219.333,8/8/11,2011,0.127,0.788,0.859,0.0,0.348,-5.542,0.315,140.027,0.769,1,1,78,1,2011-01-01
92,3Osd3Yf8K73aj4ySn6LrvK,No Church In The Wild,Kanye West,272.507,8/8/11,2011,0.246,0.654,0.751,0.0179,0.167,-7.508,0.105,92.781,0.568,0,8,70,1,2011-01-01
93,4qikXelSRKvoCqFcHLB2H2,Mercy,Kanye West,329.32,1/1/12,2012,0.0679,0.563,0.496,5.61e-05,0.173,-9.381,0.405,140.001,0.424,0,6,71,1,2012-01-01
94,722tgOgdIbNe3BEyLnejw4,Black Skinhead,Kanye West,188.013,1/1/13,2013,0.00112,0.766,0.821,0.0,0.168,-6.124,0.268,130.073,0.299,1,1,74,1,2013-01-01
95,3sNVsP50132BTNlImLx70i,Bound 2,Kanye West,229.147,1/1/13,2013,0.145,0.365,0.666,0.0,0.113,-2.821,0.0471,149.445,0.311,1,1,70,1,2013-01-01
96,78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,Kanye West,188.238,1/24/15,2015,0.875,0.582,0.272,0.0,0.13,-5.662,0.0501,205.846,0.354,1,2,79,0,2015-01-01
97,4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,135.92,6/10/16,2016,0.118,0.724,0.573,0.0,0.538,-4.113,0.0549,113.088,0.438,1,7,74,1,2016-01-01
98,3nAq2hCr1oWsIU54tS98pL,Waves,Kanye West,181.573,6/10/16,2016,0.0528,0.557,0.586,7.33e-06,0.339,-4.57,0.0382,96.091,0.0681,1,10,72,1,2016-01-01
99,1Vp4St7JcXaUoJcIahtf3L,The New Workout Plan,Kanye West,322.8,2/10/04,2004,0.00981,0.704,0.792,0.0,0.365,-4.831,0.198,118.022,0.646,1,2,60,1,2004-01-01
100,1ko2NuvWlQdxtNRc8QQzmT,Spaceship,Kanye West,324.227,2/10/04,2004,0.503,0.507,0.753,0.0,0.573,-5.31,0.19,178.068,0.657,0,5,59,1,2004-01-01
101,0IW0qaeyxL5Et4UG2MrJKB,We Don't Care,Kanye West,239.88,2/10/04,2004,0.0142,0.595,0.754,0.0,0.247,-5.827,0.181,83.155,0.647,0,11,59,1,2004-01-01
102,1boHm9rjmvzxpJASd9dnGK,Slow Jamz (feat. Kanye West & Jamie Foxx),Kanye West,212.147,1/27/04,2004,0.373,0.561,0.764,0.0,0.157,-6.645,0.138,145.158,0.598,0,2,60,1,2004-01-01
103,6yIjtVtnOBeC8SwdVHzAuF,Heard 'Em Say,Kanye West,203.733,9/30/05,2005,0.0535,0.727,0.696,0.0454,0.128,-8.313,0.165,95.067,0.559,0,7,62,1,2005-01-01
104,46OFHBw45fNi7QNjSetITR,Hey Mama,Kanye West,305.067,9/30/05,2005,0.0596,0.625,0.754,0.0,0.113,-6.993,0.189,96.186,0.357,1,7,61,1,2005-01-01
105,2T8bL4YC49Ska1yl74qcS0,Everything I Am,Kanye West,227.893,9/11/07,2007,0.463,0.631,0.623,1.7e-06,0.151,-6.969,0.265,80.23,0.765,1,8,63,1,2007-01-01
